company,project,category,technique,lit_wedge,priority,primary_url
Risk Labs / UMA,Across,true cross-chain solver/filler network,Relayers fast-fill destination and settle through hub/spoke optimistic bundles,Policy-gated relayer inventory custody and deposit reconstruction,P0,https://docs.across.to/guides/concepts/crosschain-intents
deBridge,deBridge DLN,true cross-chain solver/taker network,0-TVL order lifecycle with destination fulfillment and source claim/unlock,Gate taker/filler signing and verify DLN order fields/private risk,P0,https://docs.debridge.com/dln-details/overview/introduction
Wormhole,Wormhole Settlement,true solver/intent settlement plus messaging infra,Solvers compete/front assets with Wormhole attestations/settlement,Policy-gated solver signing with VAA/CCTP verification,P0,https://wormhole.com/docs/products/settlement/overview/
1inch,1inch Fusion+,cross-chain resolver network,Dutch-auction resolver with source/destination escrows and secrets/time-locks,Protect resolver inventory and sign escrow/fill actions under policy,P0,https://business.1inch.com/portal/documentation/apis/swap/fusion-plus/introduction
Squid / Axelar,Squid Coral / Squid Intents,hybrid router plus solver intents,Intent swaps where solvers fill and Axelar provides cross-chain transport,Protect solver wallets and verify Axelar route/message state,P0,https://docs.squidrouter.com/api-and-sdk-integration/coral-intent-swaps
Relay / Reservoir,Relay.link,managed fast bridge/execution,Fast bridge/execution API with relayer/liquidity provider settlement,Policy-gated relay inventory and scoped executor keys,P0,https://docs.relay.link/
Synapse,Synapse Intent Network,intent/RFQ relayer network,RFQ/relayer intent routing with post-fill actions,Protect relayer funds and enforce quote/fill policy,P1,https://docs.synapseprotocol.com/blog/synapse-intent-network-launch
Router Protocol,OGA,true solver/route marketplace,Programmable omnichain graph with bridges DEXs solvers and messaging nodes,Policy engine/custody for solver nodes and graph route execution,P1,https://docs.routerprotocol.com/docs/about-oga/overview/
Uniswap Labs,UniswapX,solver DEX with cross-chain design,Dutch-auction signed orders filled by competing fillers,Protect filler inventory and enforce reactor/auction constraints,P1,https://developers.uniswap.org/docs/liquidity/uniswapx/overview
CoW DAO,CoW Protocol,solver DEX/batch auction,Batch auctions and solver competition for best settlement,Protect solver settlement keys/private strategy; stronger if fronting liquidity,P1,https://docs.cow.fi/cow-protocol/concepts/introduction/solvers
LI.FI,LI.FI,aggregator / route execution layer,Aggregates bridges DEXs intent protocols and route execution,Protect route executors and integrated solvers; policy per route/integrator,P1,https://docs.li.fi/introduction/introduction
Socket,Bungee / Socket,chain abstraction router / orchestration,AppGateway/EVMx and EIP-7683 style execution,Policy-controlled app gateway/executor signing and key protection,P1,https://docs.socket.tech/
Hashflow,Hashflow,RFQ market-maker network,Professional market makers sign cryptographic quotes including cross-chain flows,Protect maker quote/fill signing and private inventory thresholds,P2,https://docs.hashflow.com/hashflow
Bebop,Bebop,RFQ / PMM DEX,Private market makers quote and atomically fill user orders,Protect PMM signing keys and quote execution policy,P2,https://docs.bebop.xyz/home
Enso,Enso,intent/shortcut execution network,Maps desired outcomes to executable DeFi routes/shortcuts,Protect route executor keys and private solver strategy,P2,https://docs.enso.build/home
Everclear,Everclear,clearing layer for intents,Nets obligations and reduces solver rebalancing needs,Partner angle around custody/risk plus netting/rebalancing,P2,https://docs.everclear.org/
LayerZero Labs,LayerZero / Stargate,solver-adjacent messaging and liquidity rail,DVNs/executors/OFT; Stargate liquidity transport,Protect operators using rails; verify messages before signing,P2,https://docs.layerzero.network/v2/concepts/layerzero-protocol-architecture
Axelar,Axelar GMP,solver-adjacent messaging rail,Cross-chain gateway and general message passing,Verify Axelar messages inside Lit policy for solver execution,P2,https://docs.axelar.dev/dev/general-message-passing/overview/
Hyperlane,Hyperlane,solver-adjacent messaging rail,Mailbox relayers ISMs and Warp Routes,Custom policy signer/executor key protection for relayers/apps,P2,https://docs.hyperlane.xyz/docs/protocol/agents/relayer
Circle,CCTP,canonical asset rail,USDC burn/mint with attestation,Gate attestation-driven mint/rebalance operations,P2,https://developers.circle.com/cctp
Chainlink,CCIP,solver-adjacent messaging/token transfer rail,DON-backed messages and programmable token transfers,Policy-check CCIP events/messages before downstream signing,P2,https://docs.chain.link/ccip/index
Hop Protocol,Hop,solver-like bonder bridge,Bonders front destination liquidity and settle through hTokens/AMMs,Protect bonder hot inventory keys,P2,https://docs.hop.exchange/basics/a-short-explainer
Anoma,Anoma,generalized intent infrastructure,Intent gossip solving and resource machine,Position Lit as production policy signing/custody complement,P3,https://docs.anoma.net/
Essential,Essential,generalized intent/declarative infra,Declarative VM/protocol where solvers find execution paths,Complement with key custody and off-chain policy signing,P3,https://docs.essential.builders/
Flashbots,SUAVE,private execution/orderflow infra,Confidential computation and MEV/orderflow auction environment,Complement with solver key custody and policy signing,P3,https://writings.flashbots.net/the-future-of-mev-is-suave
Khalani,Khalani,generalized solver coordination,Decentralized solver coordination layer for intents,Protect participating solver operators and route execution,P3,https://khalani.network/
THORChain,THORChain,cross-chain AMM not solver network,Native asset swaps through vaults/TSS and LP pools,Lower priority; not a solver sales target unless operator custody angle,P3,https://dev.thorchain.org/
Maya Protocol,Maya,cross-chain AMM not solver network,THORChain-style AMM with TSS vaults,Lower priority; not a direct solver target,P3,https://docs.mayaprotocol.com/introduction/readme
