project,category,priority,target_contact_team,contact_source,outreach_owner,status,last_touch,next_action,architecture_claims_to_verify,custody_key_questions,latency_policy_questions,lit_fit_hypothesis,evidence_source_links,notes
Across / Risk Labs,Fast-fill solver network,P0,"sales@across.to; Across Telegram; GitHub issues; Across X","Across docs / public channels",TBD,Contact identified,,"Send profile for technical review","Relayer fronting + hub/spoke settlement; ERC-7683 support; exclusive relayer flow","Where do production relayer inventory keys live? How are per-chain caps handled?","Is 300-500 ms policy authorization acceptable on the hot fill path? Which checks can be precomputed?","Policy-gated relayer inventory vault and deposit reconstruction","https://docs.across.to/guides/concepts/crosschain-intents; https://docs.across.to/guides/concepts/erc-7683; https://github.com/across-protocol/relayer-v3; examples/lit-solver-vault/action/acrossPolicy.js","Best first outreach because Chipotle already demos Across-style policy."
deBridge DLN,Fast-fill solver/taker network,P0,"deBridge Discord; deBridge X; GitHub examples","deBridge docs / public channels",TBD,Contact identified,,"Ask for solver-ops reviewer","Open solver market; destination fulfill + source claim/unlock; reserve asset requirements","Where do DLN taker/filler signing keys and reserve assets sit?","Which checks belong before destination fill vs before source claim? Is seconds-level Lit policy acceptable?","Lit-gated fill/claim signing and reserve-asset controls","https://docs.debridge.com/dln-details/overview/introduction; https://docs.debridge.com/dln-details/dln-specifics/order-fulfillment/order-fulfillment; https://docs.debridge.com/dln-details/dln-specifics/reserve-assets","Docs say anyone can become a solver, but production runbook needs verification."
Wormhole Settlement / Mayan / MCTP,Settlement / solver ecosystem,P0,"support@mayan.finance; Mayan Discord; Wormhole Discord/X","Mayan and Wormhole docs",TBD,Contact identified,,"Ask Mayan/Wormhole to verify driver model","3-second Mayan auction; driver fulfillment/unlock; MCTP CCTP/Wormhole attestation flow","Do drivers hold destination inventory and unlock keys? What roles are separate?","Can Lit run in the hot 3-second auction path, or should it focus on fill/unlock/redeem paths?","Policy-gated driver signing with VAA/CCTP verification","https://wormhole.com/docs/products/settlement/overview/; https://docs.mayan.finance/architecture/auction; https://docs.mayan.finance/architecture/mctp","Frame carefully around hot path vs slower settlement/redeem paths."
1inch Fusion+,Cross-chain resolver network,P0,"1inch Business Portal; support@1inch.com; GitHub examples","1inch Business docs / GitHub",TBD,Contact identified,,"Ask resolver team to verify onboarding and secret flow","Business Portal resolver onboarding; Dutch auction; source/destination escrow; secret reveal","Where do resolvers store fill/escrow keys? Could maker secrets be held in policy?","Which actions are latency-sensitive vs finality/secret-reveal gated?","Resolver escrow signing plus maker-side secret custody/reveal","https://business.1inch.com/portal/documentation/apis/swap/fusion-plus/introduction; https://github.com/1inch/cross-chain-sdk; https://github.com/1inch/cross-chain-resolver-example","Secret custody may be an additional Lit wedge beyond solver key custody."
Squid Coral / Squid Intents,Hybrid router plus solver intents,P0,"support@squidrouter.com; Discord; nick@squidrouter.com / Telegram from docs","Squid docs / public channels",TBD,Contact identified,,"Ask Squid to clarify public vs private solver model","Signed solver quotes; integrator ID enablement; sub-5-second execution","Do Coral solvers hold inventory? Where are signed solver quotes produced?","Is Lit viable for quote signing/inventory release, or only integrator execution policy?","Solver quote signing and inventory policy; integrator-side route execution gating","https://docs.squidrouter.com/api-and-sdk-integration/coral-intent-swaps; https://docs.squidrouter.com/api-and-sdk-integration/coral-intent-swaps/integrating-squid-intents; https://github.com/0xsquid/examples","Public docs are integrator-focused; solver side likely partner/private."
Relay.link,Managed fast bridge / settlement protocol,P0,"support@relay.link; GitHub repos; Relay forms","Relay docs / public channels",TBD,Contact identified,,"Ask Relay to verify solver/oracle signer flow","Public solver guide; third-party oracle signer modes; real-time settlement","Where are solver fill keys/oracle signer keys/withdrawal keys held today?","Can Lit replace or complement raw-private-key/AWS-KMS signer modes? Which checks fit real-time settlement?","Solver fill signer, oracle signer, withdrawal proof signer, policy-controlled liquidity","https://docs.relay.link/references/protocol/guides/for-solvers; https://docs.relay.link/references/protocol/guides/third-party-oracle; https://github.com/relayprotocol/relay-kit","Strong KMS-alternative positioning because Relay docs already discuss signer modes."
UniswapX,Solver DEX / RFQ,P1,"UniswapX support form; t.me/UniswapXdiscussion; GitHub","UniswapX docs / public channels",TBD,Contact identified,,"Ask filler/quoter team to verify mainnet onboarding and signer model","Permissionless fillers vs vetted mainnet quoters; reactor/order flow; 500 ms RFQ requirement","Where do filler inventory approvals and Executor keys live?","Can Lit gate fill execution after quote selection without affecting 500 ms quoter SLA?","Filler Executor / direct-fill signer with inventory and reactor policy","https://developers.uniswap.org/docs/liquidity/uniswapx/filling/overview; https://developers.uniswap.org/docs/liquidity/uniswapx/filling/mainnet/become-a-quoter; https://github.com/Uniswap/UniswapX","RFQ quote path may need precomputed policy; fill signing is stronger wedge."
CoW Protocol,Batch auction solver DEX,P1,"CoW Swap Solvers Telegram; Discord; forum; GitHub","CoW docs / public channels",TBD,Contact identified,,"Ask solver team to verify production onboarding and buffer/key model","Open competition plus bonding/KYC/staging; settlement deadlines; driver architecture","Which solver keys/buffers are hot and policy-sensitive?","Can Lit enforce driver-generated calldata, hook safety, and settlement deadline checks pre-sign?","Solver driver settlement signer and buffer/hook policy","https://docs.cow.fi/cow-protocol/concepts/introduction/solvers; https://docs.cow.fi/cow-protocol/tutorials/solvers/onboard; https://docs.cow.fi/cow-protocol/reference/core/auctions/competition-rules","Less about destination fronting; more about solver execution stack policy."
LI.FI Intents,Solver marketplace / route execution,P1,"LI.FI partner form; andrei@li.finance; julian@li.finance; GitHub/X","LI.FI docs / public contacts",TBD,Contact identified,,"Ask LI.FI to verify permissionless solver production access","OIF StandardOrder/MandateOutput; inventory-backed solving; WebSocket order flow","Where do solver fill/finalise keys and inventory route publishing credentials live?","Which fill checks fit hot path vs settlement/finalise path?","Solver quote/fill/finalise signer with inventory and route policy","https://docs.li.fi/lifi-intents/for-solvers/intro; https://docs.li.fi/lifi-intents/for-solvers/filling-orders; https://docs.li.fi/lifi-intents/architecture/settlement","Strong P1 because docs explicitly frame inventory-backed solvers."
Socket / Bungee,Chain abstraction router / ERC-7683 infra,P1,"Bungee API access form; Socket Discord; GitHub/X","Socket and Bungee docs",TBD,Contact identified,,"Ask Socket/Bungee to clarify Bungee Auto solver model","Bungee API/deposit flows; Socket Watchers/Transmitters/Switchboards; ERC-7683 docs","Where is Bungee Auto execution/refund signed? Do third-party fillers hold inventory?","Can Lit be a Transmitter/filler/paymaster signer or Switchboard policy input?","Transmitter/filler/paymaster signer; deposit/refund policy","https://docs.socket.tech/eip7683; https://docs.socket.tech/transmitters; https://docs.bungee.exchange/integrate/get-api-access","Socket is standards wedge; Bungee solver custody details need verification."
